employeeId,amount,payPeriod
EMP023,58343,2025-7
EMP023,47850,2026-2
EMP006,69972,2025-7
EMP013,24527,2025-11
EMP013,23452,2025-11
EMP011,52793,2025-11
EMP004,59040,2026-2
EMP021,8272,2026-1
EMP005,60035,2025-7
EMP003,29836,2025-9
EMP019,38411,2025-9
EMP007,24535,2026-4
EMP005,14708,2025-9
EMP008,34664,2025-10
EMP023,67849,2025-12
EMP013,51668,2026-4
EMP011,19846,2026-1
EMP015,16371,2025-9
EMP001,6148,2026-4
EMP012,18774,2026-4
EMP017,23719,2026-6
EMP019,71972,2025-12
EMP021,26101,2026-1
EMP007,7067,2025-7
EMP005,26149,2025-12
EMP005,53232,2026-5
EMP002,59075,2026-5
EMP013,31260,2025-12
EMP010,44864,2025-7
EMP007,48529,2025-11
EMP008,48522,2026-2
EMP023,50362,2026-1
EMP001,57903,2025-7
EMP014,34846,2026-6
EMP010,24928,2025-12
EMP011,11529,2026-4
EMP016,35572,2025-10
EMP024,17830,2026-3
EMP011,59434,2025-9
EMP001,79337,2026-4
EMP003,60942,2026-3
EMP025,58973,2026-5
EMP023,8269,2026-6
EMP012,20871,2025-10
EMP017,27226,2025-12
EMP019,35290,2026-1
EMP006,51049,2025-11
EMP011,12362,2026-6
EMP007,49452,2026-5
EMP020,79182,2025-8
EMP018,67005,2026-4
EMP017,29053,2025-7
EMP014,66814,2026-1
EMP015,14824,2026-5
EMP007,71296,2026-3
EMP021,33884,2025-11
EMP021,77019,2025-10
EMP015,11425,2026-3
EMP004,51441,2025-10
EMP024,17521,2026-3
EMP021,24829,2026-3
EMP002,41658,2025-11
EMP019,64105,2025-7
EMP021,78441,2025-7
EMP024,40066,2025-10
EMP019,69429,2025-11
EMP002,9218,2025-8
EMP022,54445,2026-3
EMP014,6534,2025-8
EMP002,21889,2026-6
EMP013,68056,2025-12
EMP008,18021,2026-4
EMP017,56857,2026-5
EMP003,63312,2025-8
EMP024,46967,2026-3
EMP016,57398,2025-10
EMP010,25857,2025-12
EMP017,53656,2025-12
EMP004,58777,2025-7
EMP002,44322,2025-7
EMP023,52145,2025-10
EMP009,79119,2026-1
EMP006,12104,2026-6
EMP009,47601,2025-9
EMP020,64809,2026-1
EMP010,25068,2026-5
EMP014,34868,2025-12
EMP017,68648,2026-5
EMP014,38246,2025-9
EMP011,5334,2025-7
EMP016,31871,2026-4
EMP002,36918,2026-2
EMP012,74919,2026-5
EMP010,48181,2026-5
EMP004,62507,2026-4
EMP006,65481,2025-8
EMP023,78223,2025-12
EMP014,73672,2025-7
EMP004,58048,2026-2
EMP016,39127,2026-2
EMP013,39178,2026-2
EMP007,35618,2026-4
EMP017,29690,2025-9
EMP024,43188,2025-9
EMP010,32006,2026-5
EMP025,13374,2025-12
EMP014,74329,2025-11
EMP023,57986,2025-11
EMP007,77296,2026-3
EMP023,20038,2025-8
EMP001,18201,2025-9
EMP024,77218,2025-11
EMP017,31647,2026-3
EMP007,12389,2025-8
EMP009,74254,2025-10
EMP016,29235,2026-4
EMP025,40206,2025-9
EMP010,37916,2025-12
EMP016,12369,2025-8
EMP004,40996,2025-11
EMP016,79313,2025-9
EMP024,22026,2026-3
EMP023,11262,2025-8
EMP015,54663,2025-12
EMP015,68749,2026-2
EMP015,22612,2026-2
EMP017,21681,2026-2
EMP017,69578,2026-5
EMP015,72520,2026-5
EMP014,27598,2026-6
EMP011,79866,2026-4
EMP005,23903,2025-12
EMP013,38720,2025-7
EMP015,63682,2025-11
EMP008,68148,2026-2
EMP015,49380,2025-11
EMP019,20921,2025-8
EMP009,60744,2025-10
EMP023,19691,2026-5
EMP014,63636,2026-3
EMP006,46243,2025-11
EMP017,28034,2026-5
EMP001,20826,2026-3
EMP014,67406,2025-11
EMP018,78415,2025-7
EMP017,79111,2025-11
EMP008,12565,2026-1
EMP012,36087,2025-7
EMP010,19699,2026-3
EMP014,62800,2026-1
EMP023,39677,2025-7
EMP021,78823,2026-2
EMP025,6866,2025-7
EMP012,78049,2025-8
EMP014,63635,2026-4
EMP003,37289,2025-9
EMP001,25085,2026-3
EMP012,47568,2026-5
EMP017,26387,2026-4
,42192,2026-3
,19708,2025-8
,73377,2026-2
,5810,2025-7
,62246,2026-3
,27211,2026-3
,37858,2026-3
,56419,2025-8
,73577,2026-5
,70189,2025-10
EMP001,,2025-9
EMP002,,2026-1
EMP003,,2026-4
EMP004,,2026-3
EMP005,,2026-5
EMP001,-500,2025-10
EMP002,abc,2025-10
EMP003,0,2025-8
EMP004,-1000,2026-2
EMP005,NaN,2026-5
EMP001,5659,not-a-date
EMP002,41027,2025-13
EMP003,36634,2025-0
EMP004,38784,2025-06-01
EMP005,21239,2025/01/01
EMP009,66813,2025-9
EMP016,63679,2026-6
EMP004,49833,2025-9
EMP017,35129,2026-5
EMP023,55563,2026-6
